ranking_dea,cod_ibge,Município,UF,População_2022,eficiencia_dea,phi_expansao_outputs,eficiente,benchmarks_sugeridos,tipo_benchmark,risco_inundacao,risco_deslizamento,exposicao_domicilios_risco,saneamento_resiliente,gestao_risco,governanca_investimento_adaptativo,agua,esgoto,tratamento_esgoto,infraestrutura,politica_ambiental,risco_composto,grupo_prioridade,cluster_kmeans,classe_inundacao,classe_deslizamento,risco_percentil,ineficiencia_percentil,indice_prioridade,eficiencia_pred_rf
538,3502705,Apiaí,SP,24585,0.6543397212576308,1.5282581318432196,False,Lins; Leme; Pompéia,similaridade,0.58,0.57,72.0,75.2,60,30.0,72.96,52.64,100.0,0.0,60,0.575,alto risco/baixa eficiência,2,Médio,Médio,0.789922480620155,0.834108527131783,0.6588810768583618,0.6517981219364565
539,3506904,Bofete,SP,10460,0.653654683237628,1.52985976486374,False,Águas de São Pedro; Paulistânia; Guariba,similaridade,0.16,0.1,0.0,75.27333333333333,16,33.953725923785356,70.06,55.76,100.0,7.90745184757071,60,0.13,baixo risco/baixa eficiência,4,Muito baixo,Muito baixo,0.027906976744186046,0.8356589147286821,0.02332071389940508,0.6633346295847836
540,3516408,Franco da Rocha,SP,144849,0.651460440852043,1.5350126228571963,False,Lins; Ituverava; Paulínia,similaridade,0.27,0.71,0.0,71.71,52,40.0,88.65,79.54,46.94,0.0,80,0.49,alto risco/baixa eficiência,4,Baixo,Alto,0.641860465116279,0.8372093023255814,0.5373715521903731,0.6968777592401478
541,3520426,Ilha Comprida,SP,13419,0.6471319628647215,1.5452798770334315,False,Santa Ernestina; Adamantina; Marapoama,similaridade,0.39,0.42,0.0,74.91666666666667,16,30.0,81.86,42.89,100.0,0.0,60,0.405,baixo risco/baixa eficiência,4,Baixo,Médio,0.4108527131782946,0.8387596899224806,0.34460669430923624,0.6478412464892197
542,3502754,Araçariguama,SP,21522,0.6467099280030314,1.5462883074764124,False,Terra Roxa; Paulo de Faria; Dumont,similaridade,0.6,0.48,0.0,74.88666666666667,12,10.0,74.15,50.51,100.0,0.0,20,0.54,alto risco/baixa eficiência,4,Alto,Médio,0.748062015503876,0.8403100775193798,0.6286040502373655,0.6430887109784363
543,3546306,Santa Cruz das Palmeiras,SP,28864,0.6458682638983118,1.548303355183038,False,Leme; São Joaquim da Barra; São Simão,similaridade,0.8,0.78,0.0,32.29,20,50.0,0.0,96.87,0.0,0.0,100,0.79,alto risco/baixa eficiência,4,Muito alto,Alto,0.9922480620155039,0.8418604651162791,0.8353344149990987,0.5356141283939811
544,3524600,Jacupiranga,SP,16116,0.6456782872300115,1.548758909471843,False,Leme; São Simão; Nova Europa,similaridade,0.68,0.63,45.0,74.81333333333333,20,32.48170019223279,66.51,57.93,100.0,4.96340038446558,60,0.655,alto risco/baixa eficiência,4,Alto,Alto,0.8914728682170543,0.8434108527131783,0.7518778919536085,0.6525127124106908
545,3536109,Pardinho,SP,7153,0.6411477115002558,1.5597029858533635,False,Águas de São Pedro; Itapura; Paranapuã,similaridade,0.09,0.05,0.0,74.34666666666666,16,20.0,73.64,49.4,100.0,0.0,40,0.07,baixo risco/baixa eficiência,4,Muito baixo,Muito baixo,0.012403100775193798,0.8449612403100775,0.010480139414698634,0.6558995862294429
546,3532108,Murutinga do Sul,SP,3737,0.6411296892762407,1.559746829270816,False,Pontal; Pompéia; Adamantina,similaridade,0.51,0.43,0.0,74.49,12,40.0,61.47,62.0,100.0,0.0,80,0.47,alto risco/baixa eficiência,4,Médio,Médio,0.5922480620155038,0.8465116279069768,0.5013448711014963,0.6591178388190394
547,3550407,São Pedro,SP,38256,0.6411191434170719,1.5597724857662887,False,Pompéia; Guariba; Pontal,similaridade,0.57,0.39,47.0,74.14666666666666,36,40.0,92.0,80.31,50.13,0.0,80,0.48,alto risco/baixa eficiência,2,Médio,Baixo,0.6201550387596899,0.8480620155038759,0.5259299320954269,0.6315081799351311
548,3553708,Taquaritinga,SP,52260,0.639385318004076,1.5640021311744057,False,Presidente Prudente; Monte Alto; Pontal,similaridade,0.61,0.39,0.0,66.66666666666667,12,50.0,100.0,100.0,0.0,0.0,100,0.5,alto risco/baixa eficiência,4,Alto,Baixo,0.6635658914728683,0.8496124031007752,0.5637738116699719,0.6001130506765477
549,3501905,Amparo,SP,68008,0.6359835188896815,1.57236778988523,False,Leme; Pompéia; Pontal,similaridade,0.62,0.68,87.0,72.01333333333334,40,40.8613662348758,78.71,74.77,62.56,1.72273246975161,80,0.65,alto risco/baixa eficiência,2,Alto,Alto,0.8875968992248062,0.8511627906976744,0.7554894537587885,0.6799671004012723
550,3501202,Álvares Florence,SP,3915,0.6341895604395603,1.5768156122073256,False,Paulo de Faria; Dumont; Santópolis do Aguapeí,similaridade,0.7,0.46,0.0,73.99666666666666,4,20.30759759269265,67.96,67.75,86.28,20.6151951853853,20,0.58,alto risco/baixa eficiência,4,Alto,Médio,0.7953488372093023,0.8527131782945736,0.6782044348296375,0.6549624581937292
